timestamp,position,frequency_hz,regime,geometry,state,keyword,i_ching_hex,i_ching_name,coherence_pct,focus_pct,meditation_pct,delta_pct,theta_pct,alpha_pct,beta_pct,gamma_pct,heart_rate_bpm,fnirs_LI_hbo,fnirs_LI_hbr,fnirs_LI_sqi,fnirs_RI_hbo,fnirs_RI_hbr,fnirs_RI_sqi,fnirs_LO_hbo,fnirs_LO_hbr,fnirs_LO_sqi,fnirs_RO_hbo,fnirs_RO_hbr,fnirs_RO_sqi,fnirs_index,fnirs_settledness,dwell_sec,advanced_by
2026-07-02T16:37:13.821Z,19,3504,HEAD,"Chladni Star","FOCUSED ATTENTION",Focus,21,"Biting Through",38,71,43,56,7,16,18,4,70,-0.0327,0.0036,0.89,-0.0490,0.0338,0.986,0.0004,0.0045,0.989,-0.0070,0.0185,0.827,0.017124,0,11,
2026-07-02T16:37:43.818Z,19,3504,HEAD,"Chladni Star","FOCUSED ATTENTION",Focus,21,"Biting Through",36,67,59,48,16,20,12,3,68,0.0241,-0.0088,0.985,0.0037,0.0060,0.958,0.0040,0.0013,0.447,0.0016,0.0031,0.814,0.005934,0,15,
2026-07-02T16:38:13.817Z,20,3858,HEAD,"Wave Function","RECEPTIVE STATE",Receiving,48,"The Well",38,65,49,22,22,17,33,6,69,0.0088,-0.0109,0.997,0.0075,-0.0084,0.99,0.0021,-0.0007,-0.087,0.0012,0.0033,-0.046,0.010399,0,13,
2026-07-02T16:38:43.817Z,19,3504,HEAD,"Chladni Star","FOCUSED ATTENTION",Focus,21,"Biting Through",37,64,55,58,22,6,7,6,68,-0.0404,0.0329,0.998,-0.0235,0.0157,1,-0.0072,0.0139,0.686,-0.0050,0.0029,0.43,0.018411,0,11,
2026-07-02T16:39:13.817Z,20,3858,HEAD,"Wave Function","RECEPTIVE STATE",Receiving,48,"The Well",38,64,60,54,26,7,10,4,70,-0.0274,0.0140,1,-0.0287,0.0210,0.998,-0.0036,-0.0027,0.961,-0.0061,0.0055,0.953,0.00515,0,13,
2026-07-02T16:39:43.818Z,20,3858,HEAD,"Wave Function","RECEPTIVE STATE",Receiving,48,"The Well",39,65,59,54,20,13,9,4,68,-0.0301,0.0242,0.997,-0.0091,0.0066,0.981,-0.0064,0.0045,0.93,-0.0031,-0.0054,0.936,0.008438,0,3,
2026-07-02T16:40:13.817Z,19,3504,HEAD,"Chladni Star","FOCUSED ATTENTION",Focus,21,"Biting Through",37,65,61,50,25,10,13,2,68,-0.0630,0.0358,0.999,-0.0307,0.0135,0.994,-0.0111,0.0041,0.597,-0.0071,-0.0054,0.718,0.022432,0,1,
2026-07-02T16:40:43.819Z,19,3504,HEAD,"Chladni Star","FOCUSED ATTENTION",Focus,21,"Biting Through",38,68,60,47,16,22,14,2,69,0.0135,-0.0090,0.97,0.0104,-0.0090,0.993,0.0011,-0.0021,0.941,0.0013,-0.0020,0.694,0.010704,0,3,
2026-07-02T16:41:13.818Z,19,3504,HEAD,"Chladni Star","FOCUSED ATTENTION",Focus,21,"Biting Through",38,67,54,43,21,14,15,7,69,0.0406,-0.0220,0.926,0.0374,-0.0253,0.95,0.0045,-0.0069,-0.371,0.0063,-0.0073,-0.135,0.021885,0,9,
2026-07-02T16:41:43.820Z,20,3858,HEAD,"Wave Function","RECEPTIVE STATE",Receiving,48,"The Well",38,80,56,36,10,32,19,4,69,-0.0254,0.0235,1,-0.0065,0.0030,0.999,-0.0066,0.0023,0.556,-0.0024,-0.0046,0.674,0.009857,0,17,
2026-07-02T16:42:13.818Z,18,3150,HEART,"Penrose Tiling","RENEWAL",Renewal,46,"Pushing Upward",38,70,59,58,11,21,6,4,69,-0.0015,-0.0053,0.918,-0.0111,0.0041,0.972,-0.0014,-0.0119,-0.132,-0.0035,-0.0037,0.383,0.022488,0,15,
2026-07-02T16:42:43.818Z,20,3858,HEAD,"Wave Function","RECEPTIVE STATE",Receiving,48,"The Well",38,70,46,53,14,11,18,4,67,0.0372,-0.0195,-0.451,0.0222,-0.0110,0.94,0.0036,-0.0167,-0.893,0.0041,-0.0102,-0.118,0.012602,0,17,
2026-07-02T16:43:13.819Z,19,3504,HEAD,"Chladni Star","FOCUSED ATTENTION",Focus,21,"Biting Through",39,65,71,40,38,12,7,4,70,0.0126,-0.0032,0.981,0.0087,-0.0013,0.992,0.0013,-0.0018,0.655,0.0018,-0.0023,0.969,0.005562,0,47,
2026-07-02T16:43:43.818Z,19,3504,HEAD,"Chladni Star","FOCUSED ATTENTION",Focus,21,"Biting Through",39,66,60,55,16,17,8,3,71,0.0253,-0.0114,0.94,0.0206,-0.0133,0.981,0.0027,-0.0047,0.96,0.0042,-0.0019,0.637,0.014042,0,5,
2026-07-02T16:44:13.817Z,19,3504,HEAD,"Chladni Star","FOCUSED ATTENTION",Focus,21,"Biting Through",38,67,51,48,17,14,14,7,69,0.0262,-0.0194,0.993,0.0132,-0.0098,0.999,0.0038,-0.0093,0.892,0.0023,-0.0042,0.964,0.014061,0,15,
